"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"490aa53580d07131ce2767348f2313b86d215d89",0.000135769772261894,0.0110992461429665,0.000761803279670888,0.0182139196385671
"671d2b3be72037674957b4358a215f0211b21833",0.000749604333789341,0.036443051857053,0.00158788168173094,0.0328781500698169
"9531e9fb41d8c8191ed5a4bc4b0c4decbb03e163",0.00121172583740799,0.0438815329560407,0.00133534450898775,0.0259526100396423
"ec7dddb7414cc2ee340282b9c59c55439357480e",0.00036132721442985,0.0195452280626332,0.0012670535443635,0.0223605039184177
"2a880f74b7d365a8b5c197912c818c4f29984f90",3.17174391093046e-05,0.00476184599609177,6.11210041972027e-06,0.000641344997115947
"5442637273e587fe93f555fc3221b8fb5e4991f4",0.00053463942660045,0.0270230965439298,0.00141895436667005,0.0294197625049812
"2555586dd3af299c55300bdf0878d6a9430f0c7b",0.000436090842739643,0.0232033114922684,0.000501958706357929,0.0146927448240935
"b7a0d8444c95afd57a03573f2dc42c35d627b8c2",0.000189997762210821,0.0118691687961739,0.00028899980713552,0.00915519611212648
"ff1a36f5b77fcc17169eec0b05483ae04d3cb01a",0.000290867511431244,0.018802371853507,0.000225707572001435,0.0103353791592963
"e3eea558c1e2b667668cb3ea5a81c4fbf66d2be3",0.0001238800125267,0.0106395566590452,0.00182885467209941,0.0332360887133857
"809ff813202927703c7716660f6ca3941db4f3e2",0.000315040787341541,0.0175035428061123,0.001588407231914,0.0242625992877923
"7ed7f9d1e1f65104895e7b411ed353b4fdedd186",0.00132811407947436,0.0450692953601724,0.00444883905512384,0.0659027237103227
"773690f748642758acb17e5ae7921dcde1bb5ba3",0.0004932853598317,0.0252507112893274,0.000279130945251173,0.0122454399911596
"5d42e5696402bda570d3bedcf646b6e725e95755",0.000834820580144823,0.0337426506834288,0.00197815672434297,0.0310190969673111
"8e85a37b09f5191762c729cabe1f682e3818128b",4.04588927553266e-05,0.00487730209805463,0.00140398337145741,0.0128779549760307
"0c9cc3c0a83ed950264f95aac75d6006da31c2e9",8.25417174947951e-06,0.00178660231686742,2.59766984766815e-05,0.00173551453567422
"7f031f6d0601ee68b34d6754901205ca5c76e3b7",0.00164750166784066,0.0414920424652542,0.00390640639420291,0.0425592843610936
"4b94b0abcd78543536cb56e5f79eaeb015d49fec",0.00120519253411296,0.0410982746953323,0.00394767830256659,0.0545386443070668
"2779f1dc08172f2ce8341c272f94b2cb34e59a1e",8.86757369085005e-07,0.000402376120627338,2.98534277558435e-06,0.000277888747840639
"d7ed0b62b794486c8400552b7adc2767a41ce28b",0.00138071807343452,0.046094429830735,0.00721468458023931,0.0663279116269928
"807a64ec5bb4935e28419be8b8934936b2f0f647",0.000665855084246954,0.0288916201041303,0.00111154209057113,0.0208342081616953
"74ef58bc7de1c66e25e925f4e06c56b7fc600fcc",0.000108215151880816,0.0101335540263265,0.00090781219042324,0.0268941982274931
"4502b5e945ebc3d4985193843c12b5e325d3a249",0.000225945167060255,0.014345593814922,0.00235046575026328,0.0279442827720415
"e1d2492e5aa6390bb01f6504379012aa934aae81",0.0013955726146133,0.0479892139281702,0.000145626025060604,0.00625758623892843
"903802ef0f743998013ea9ce5fb12e2357871be5",0.00150145687500146,0.0387415481435029,0.00333885858560684,0.0482180969509501
"2ae25389e70d6c4c7da60c7dd6d109336de6738b",0.00133616928824998,0.0464708174733395,0.00679138254013318,0.0730804338858095
"e77a5fda402be3c6e86ba9473d000d5f16c44d31",0.000558813499597916,0.0256113966050137,0.00126548350028978,0.0281834347226625
"15b9c5a611b8ea10311279047c4a61a371ad1a1e",6.48452050571024e-05,0.0061539825706686,8.93058126062384e-05,0.00477995479694777
"688ddc988b53bc1b97fd47d5b6f1d1b1e9896de0",0.000456047098061639,0.0259092916217697,0.000826469812417842,0.0223657570142171
"18b3a01aaa780205f391964cf96c93c60fb283a3",0.000716245569926779,0.023462736858158,0.0016420086140044,0.0303382809043153
