"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"8def14a3ccccc2a10a9347f933dbd5542dafa833",0.0191143877954552,0.518859619772655,0.0198060046920279,0.183223251131494
"bd298cfd0c0ab63c805748284c3b0b3d32ebd527",0.0486280470122393,0.609652587466669,0.0578997849960067,0.344293588617901
"f1bd0504513687c1ecf9c9db05009abe7a2021be",0.001267694506382,0.362529946112213,0.0017116259630064,0.0543956000482423
"73642e3933d559b64a2a4fa7b7e740ff9ed4594d",0.00790197178390111,0.466430893279764,0.00242660017215755,0.0776727897273832
"7d921ea272766c262256599afc7dcd0600c7d072",0.0412407607096625,0.590012605661011,0.0416903987250754,0.28305344473803
"96b3937922be1e16816841ecca49ad68fc872331",0.0157556607598461,0.509206933433819,0.00156160415593357,0.062699252791611
"71223265b36cf2a1f7734a76f9a0b4260990a0c5",0.00201093238173905,0.39414592618997,0.000199276233132147,0.0181361909699264
"540775d746e6583c8bacf612348dc696d86b4d5a",0.0423418517551613,0.576758930902863,0.02572128384417,0.210853408685346
"3152f0ec2f2783315bf4981e86276cb5585615e1",0.0482640535904998,0.581691176766854,0.0168267334746245,0.172951668910116
"c1c603925f9b9e46c39930d1ab3f8144d01e4bc7",0.000155280866104105,0.253448425057873,0.00012254220590442,0.00869700465027493
"751edeccc196733753aca9b10d22895f4104b27b",0.00742775957950974,0.419147134674378,0.00483405662539621,0.0943639238291689
"d797ebc89d7274fb4e55c7dbe475cd91232a9ab6",0.0346722944060614,0.541699491002764,0.0199554597421396,0.163098775128103
"03a313a18716a15a70aa4e865663f296dde1b82b",0.000195357825456564,0.256707016125167,8.71504694602634e-06,0.00305460886074062
"e359c8838a031fcc018966474099905b81e5212d",0.00570369803214278,0.446604106111817,0.000898925893687257,0.0406750076109715
"d89148c39ad565bbf5babb1771e35b9e826fbd34",0.00477329351764612,0.444562445020518,0.00208898653248498,0.0709573637691393
"6e75e07454a6259ee1acd10c3a0c29ca77aee2f0",0.00422092173916282,0.441058077853016,0.00283272337187691,0.0814841615419132
"18c0376edc46a59616769a1f39a87c372c5af272",0.00115571840180314,0.34806929606689,0.00150737050454468,0.0390934422669719
