#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
559db1aee33f3551d4c521db5fd14cb9;size=1901;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	55	0	928	0	1	0	0	31	0	105	0	128	0	6	0	7	15	84	0	148	0	4	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a6f3004f85340d57dc1ff624ddf25f00;size=1901;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1366	0	1	0	0	0	3	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262cd43cc41baed60df6455a9992ce89;size=1896;	0	13	5	8	14	14	0	0	11	21	0	37	24	69	6	95	30	276	53	91	32	31	2	351	0	19	1	56	9	6	0	0	3	2	54	10	8	10	14	50	72	142	4	3	65	11	2	24	7	16	8	4	78	0	1	0	2	4	5	2	0	0	0	0	0	2	4	6	6	0	1	2
b81f61b9c91b7ee7084cde8a1b2dc5a2;size=1884;	0	709	0	0	224	0	11	0	5	76	0	0	3	29	0	75	0	1	0	7	0	2	0	0	0	2	0	7	0	25	0	0	36	0	35	0	125	41	0	0	56	0	3	8	4	0	8	0	0	0	0	0	116	0	7	0	10	0	11	36	3	2	0	0	0	0	0	187	0	0	20	0
44d4223818ffd8327408efaf57553fe2;size=1858;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	7	0	525	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1286	0	0	0	0	0	5	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caaef62ec4a571865bccc0642e0e5332;size=1827;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1783	0	0	0	0	0	5	0	38	0	0	0	0	0	0	0	0	0	0	0
72b6327c77313aebbb5fba3bccf30d77;size=1776;	0	886	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	754	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	18	0
cbab9903e62f9447136b7130545e2123;size=1774;	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	16	0	0	10	0	10	145	0	21	0	57	13	36	0	21	869	5	37	55	0	3	0	0	0	0	0	11	235	47	5	0	0	36	0	0	0	0	0	0	0	0	0	1	0	0	0
f8211d79fff1946e57f301e10d0ca5d3;size=1764;	0	1559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0
c41c1370546a17da0214446d9e7487c8;size=1720;	0	0	0	0	0	2	2	181	0	1	0	265	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	295	27	2	0	0	0	0	0	38	0	3	0	1	0	0	0	2	0	155	6	613	0	2
