#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
eff5c25d23138aa7f504defc69b02f5a;size=1476;	0	26	4	0	33	0	1	9	0	26	33	2	29	96	0	31	14	61	2	26	24	12	0	56	3	50	0	13	0	23	0	0	0	0	126	12	92	27	52	81	27	198	13	13	131	77	23	10	0	0	1	0	10	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc49f8eee9531a50470da093d009553d;size=1470;	0	9	0	7	13	15	0	0	0	16	0	27	19	56	0	72	27	211	46	73	24	25	0	283	0	14	1	48	9	4	0	0	0	0	48	0	6	8	13	39	54	121	4	3	55	9	0	17	5	13	5	0	54	0	0	0	0	3	4	0	0	0	0	0	0	2	0	6	1	0	0	1
ef06960f3937cb47c3d0536901bdb90e;size=1459;	0	87	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	8	0	0	128	0	0	34	6	84	0	0	0	131	10	0	123	0	50	0	0	503	0	0	0	0	21	0	0	65	28	0	57	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4a3a3c0d90a235251f1c5c4153885337;size=1425;	0	544	0	0	168	0	5	0	5	64	0	0	0	26	0	56	0	0	0	7	0	0	0	0	0	0	0	0	0	21	0	0	29	0	30	0	92	31	0	0	14	0	0	6	3	0	0	0	0	0	0	0	96	0	7	0	14	8	7	26	0	0	0	0	0	0	0	152	0	0	14	0
c8d94e9c696c06fa9da567991bad0f0a;size=1399;	0	1235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
33e0b3293b4b0122bdf0c54062f8ff00;size=1396;	0	0	0	0	0	0	0	0	0	0	0	0	33	433	0	7	0	172	0	0	432	0	0	0	0	0	3	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52b3f13bc151e14514aa317fda345eed;size=1363;	0	0	0	0	0	0	0	143	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	246	20	0	0	0	0	0	0	26	0	3	0	0	0	0	0	0	0	127	7	492	0	0
6d5ce8a77213600573e99b8d7e56aed1;size=1317;	0	444	0	0	158	0	0	0	0	0	0	0	2	0	0	0	0	42	0	77	0	0	0	5	0	6	0	0	0	0	0	0	3	0	0	0	0	0	6	52	0	0	0	0	0	20	0	33	24	0	0	0	0	0	0	0	13	84	0	58	0	0	0	0	0	0	58	178	0	24	30	0
6491e14bcdec482b58096ff428e004d9;size=1314;	0	0	205	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	231	0	0	18	0	13	0	0	0	0	0	8	0	209	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	2	0	0	0	0	0	62	0	235
5ab0accccd3c987c6b7870b2007d0911;size=1264;	0	0	0	0	56	0	0	0	97	262	0	0	0	67	4	24	0	0	0	0	44	0	0	0	0	11	0	96	0	10	0	0	20	12	0	0	43	25	16	0	18	0	0	10	6	0	9	22	0	107	0	0	23	0	0	0	75	11	19	0	0	0	0	0	0	20	0	157	0	0	0	0
